Day,Month,Year,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,Hourly Demand Met (in MW)
1,1,2023,0,7.4,7,97,0,0,0,1019.9,5,2252.78
1,1,2023,1,7.7,7.1,96,0,249,1.8,1020.4,5,2013.4
1,1,2023,2,7.9,7.1,95,0,242,1.8,1021.1,5,1872.1
1,1,2023,3,9.8,9.3,97,0,270,5.4,1021.9,5,1806.61
1,1,2023,4,11.7,9.8,88,0,265,5.5,1021.9,5,1855.44
1,1,2023,5,13.6,10.4,81,0,260,5.5,1021.9,5,2089.85
1,1,2023,6,17.6,10.9,65,0,250,7.6,1022.3,1,2584.39
1,1,2023,7,16.6,10.7,68,0,260,5.5,1021,1,3247.95
1,1,2023,8,17.7,10.6,63,0,268,5.5,1020.2,1,3860.26
1,1,2023,9,20.6,9.8,50,0,250,3.6,1019,1,4280.86
1,1,2023,10,19.5,10.5,56,0,247,3.7,1019.1,2,4540.35
1,1,2023,11,18.3,10.9,62,0,242,1.8,1019.1,2,4515.24
1,1,2023,12,18,10.6,62,0,250,3.6,1018.9,2,4184.47
1,1,2023,13,15.2,11.4,78,0,233,1.8,1019.9,2,3693.81
1,1,2023,14,13.1,11,87,0,208,0,1020.5,2,3395.04
1,1,2023,15,13.8,11.7,87,0,0,0,1021,2,3138.41
1,1,2023,16,12.5,11.1,91,0,268,0,1021.2,5,3025
1,1,2023,17,11.2,10.6,96,0,277,0,1021.5,5,3158.71
1,1,2023,18,12.4,10.5,88,0,0,0,1021.6,5,3366.26
1,1,2023,19,9.5,9.5,100,0,283,0,1021.6,5,3285.76
1,1,2023,20,9.1,9.1,100,0,265,0,1021.5,5,3167.78
1,1,2023,21,11.2,9.9,92,0,0,0,1020.9,5,3032.36
1,1,2023,22,10.4,9.5,94,0,264,0,1020.9,5,2797.53
1,1,2023,23,9.6,8.8,95,0,195,0,1021,5,2435.65
2,1,2023,0,9.4,8.6,95,0,0,0,1020.8,5,2074.97
2,1,2023,1,8.7,8.4,98,0,241,0,1021.6,5,1847.85
2,1,2023,2,8.6,8.5,99,0,221,1.8,1022.2,5,1743.8
2,1,2023,3,11.6,10,90,0,0,0,1022.7,5,1707.4
2,1,2023,4,11,9.3,89,0,160,1.8,1022.7,5,1774.08
2,1,2023,5,13.3,9.9,80,0,176,3.7,1022.8,5,2046.33
2,1,2023,6,15.8,10.6,71,0,0,0,1023.2,5,2674.63
2,1,2023,7,16.8,10.6,67,0,224,3.7,1021.9,1,3449.75
